"performance_group","product_category","total_items_sold","total_revenue"
"Top 5 Highest","health_beauty","9465","1233131.72"
"Top 5 Highest","watches_gifts","5859","1166176.98"
"Top 5 Highest","bed_bath_table","10953","1023434.76"
"Top 5 Highest","sports_leisure","8431","954852.55"
"Top 5 Highest","computers_accessories","7644","888724.61"
"Bottom 5 Lowest","flowers","33","1110.04"
"Bottom 5 Lowest","home_comfort_2","30","760.27"
"Bottom 5 Lowest","cds_dvds_musicals","14","730.00"
"Bottom 5 Lowest","fashion_childrens_clothes","7","519.95"
"Bottom 5 Lowest","security_and_services","2","283.29"
